"TIME","GEO","UNIT","DIRECT","NA_ITEM","Value","Flag and Footnotes"
"2008","HUZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","HUZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL11","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL12","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL13","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL21","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL22","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL23","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL31","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL32","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL33","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL34","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL41","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","NL42","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","AT","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,400",""
"2008","AT1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,000",""
"2008","AT11","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,200",""
"2008","AT12","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,200",""
"2008","AT13","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,100",""
"2008","AT2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,900",""
"2008","AT21","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,500",""
"2008","AT22","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,100",""
"2008","AT3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,700",""
"2008","AT31","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,600",""
"2008","AT32","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,000",""
"2008","AT33","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,900",""
"2008","AT34","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","25,000",""
"2008","ATZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","ATZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL21","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL22","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL41","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL42","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL43","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL51","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL52","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL6","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL61","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL62","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL63","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL7","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL71","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL72","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL8","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL81","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL82","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL84","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL9","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL91","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PL92","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PT","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,000",""
"2008","PT1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,000",""
"2008","PT11","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","9,000",""
"2008","PT15","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,300",""
"2008","PT16","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","9,500",""
"2008","PT17","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,100",""
"2008","PT18","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","9,900",""
"2008","PT2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,000",""
"2008","PT20","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,000",""
"2008","PT3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","10,900",""
"2008","PT30","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","10,900",""
"2008","PTZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","PTZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","RO","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","3,900",""
